Input,Output,Load,UNUSED
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,0.16113,0.068359,0
1,0.56152,0.26855,0
1,0.91309,0.44434,0
1,1.1377,0.58105,0
1,1.2695,0.67871,0
1,1.3428,0.7373,0
1,1.3867,0.77637,0
1,1.4062,0.7959,0
1,1.416,0.80566,0
1,1.4209,0.81543,0
1,1.4258,0.81543,0
1,1.4258,0.82031,0
1,1.4258,0.82031,0
1,1.4258,0.82031,0
1,1.4258,0.8252,0
1,1.4307,0.8252,0
1,1.4258,0.8252,0
1,1.4258,0.82031,0
1,1.4258,0.82031,0
1,1.4258,0.82031,0
1,1.4209,0.82031,0
1,1.4209,0.82031,0
1,1.4209,0.82031,0
1,1.4258,0.82031,0
1,1.4209,0.82031,0
1,1.4209,0.8252,0
1,1.4209,0.82031,0
1,1.4209,0.82031,0
1,1.4209,0.82031,0
1,1.4209,0.82031,0
1,1.4209,0.82031,0
1,1.4209,0.82031,0
1,1.4209,0.82031,0
1,1.4209,0.82031,0
1,1.4209,0.82031,0
1,1.4209,0.82031,0
1,1.4209,0.82031,0
1,1.416,0.82031,0
1,1.416,0.82031,0
1,1.416,0.82031,0
1,1.416,0.82031,0
1,1.416,0.82031,0
1,1.4209,0.81543,0
1,1.416,0.82031,0
1,1.416,0.81543,0
1,1.4111,0.81543,0
1,1.4111,0.81543,0
1,1.4111,0.81543,0
2,1.4111,0.81543,0
2,1.4111,0.81543,0
2,1.6016,0.95215,0
2,2.0215,1.123,0
2,2.3682,1.3184,0
2,2.5879,1.4746,0
2,2.7148,1.5869,0
2,2.7881,1.6553,0
2,2.8223,1.7041,0
